| Column(s) | Issue type | Disposition |
|---|---|---|
| `BASIC_NUM` | **Bug (leakage)** | `identifiers` drop-list has `'NUMERACY'` (matches nothing) instead of `'BASIC_NUM'`. Fix the string so it's excluded like `BASIC_LIT` is. Didn't reach the final 44 features this run, but contaminated the PCA fit. |
| `READING`, `WRITING`, `COMPUTE`, `COMPRE`, `LLEVEL10OVER`, `LLEVEL5OVER`, `READING59`, `WRITING59`, `COMPUTE59`, `LLEVEL59`, `FLLEVEL`, `BLITERATE`, `BASIC_LIT`, `READ_IND_F2` | **Leakage — confirmed correct** | These are literally the Form 2A/2B/2C literacy-test output fields. Already dropped in `identifiers`. No further action. |
| `FLITERATE` | **Target, not a feature** | 28,127 missing = individuals with no Form 2 record at all (true unit nonresponse). Already handled correctly — Phase 2 drops rows via `.notna()` before training. No action needed. |
| `OF_PRESENT` | Imputation-OK | Gated by `OF`≠5. Current `Not_Applicable` fill correct. |
| `ATTEND_SCHOOL` | Imputation-OK | Gated to ages 3–30. Current fill correct (recommend a cross-tab sanity check against `AGE>30`). |
| `ATTEND_GRADE_LEVEL` | Imputation-OK | Gated on `ATTEND_SCHOOL` ∈ {1,2,3}. Current fill correct. |
| `MODETRVL1/2/3` | Imputation-OK (0 missing) | Codebook has a **native code 99=N/A** — PSA fills this itself, no pipeline action needed. |
| `NATT_REASON` | Imputation-OK (0 missing) | Gated on `ATTEND_SCHOOL`=4; already fully populated. |
| `DAYCARE` | Imputation-OK | Gated on `HGC_LEVEL` ≥ Kindergarten. Current fill correct. |
| `KINDER` | Imputation-OK | Gated on `HGC_LEVEL` ≥ Grade 1. Current fill correct. |
| `SHS` | Imputation-OK | Gated on age/grade eligibility for SHS. Current fill plausible. |
| `WORK` | Imputation-OK | Gated to ages 15+. Current fill correct (recommend cross-tab vs `AGE<15`). |
| `WORK_CLASS` | Imputation-OK | Gated on `WORK`=1. Codebook has no native N/A code here (per your own remark), so the constant fill is doing real work correctly. |
| `TOILET_LOC`, `TOILET_SHARE`, `TOILET_PUBLIC` | Imputation-OK | Cascading skip via `TOILET`(Q17)→`TOILET_SHARE`(Q19)→`TOILET_PUBLIC`(Q20). Current fill correct at every stage. |
| `ODL_SOFTWARE`, `ODL_TECHNOLOGY` | Imputation-OK | Gated on household-level ODL usage (Q22). Current fill correct. |
| `GUARDIAN` | Imputation-OK | Gated on `ADULTS`(Q3)=Yes. Current fill correct. |
| `CHILD_FACILITY` | Imputation-OK (0 missing) | Household-level, asked to all. No action. |
| `SHS_TRACK` | **Imputation — needs raw-data check** | Codebook has a **native code 4=N/A already baked in**. A *blank* cell is therefore a different phenomenon than routine skip (possibly the same unit-nonresponse pool below) — don't assume the blank↔skip equivalence holds here without checking `value_counts(dropna=False)`. |
| `ALS` | **Imputation — needs raw-data check** | Same issue as `SHS_TRACK`: native code 4=N/A exists. Contradicts your CSV remark ("blank means Not Applicable") — the two are likely different things. Verify before finalizing. |
| `NOWORK_REASON` | **Imputation — needs raw-data check** | Gated on `WORK`=2 (No), yet shows **0 missing**, which is suspicious if the gate is real — suggests PSA may already write a placeholder/sentinel code for workers, rather than leaving it blank. Check `value_counts(dropna=False)`. |
| `ADULTS` | **Imputation-FIX (recommendation)** | Your CSV remark proposes defaulting to code 2 ("No"). Recommend keeping `Not_Applicable` instead — collapsing a structural skip ("no children 0–4 exist") into a substantive answer ("no adult supervises them") asserts a fact you don't have. Also keeps consistency with the paper's single stated imputation rule (§3.2). |
| `HGC_LEVEL`, `ALS`, `BASIC_LIT`, `BASIC_NUM`, `DIFF_SEEING`, `DIFF_HEARING`, `DIFF_WALKING`, `DIFF_REMEMBERING`, `DIFF_SELFCARE`, `DIFF_COMMUNICATING` | **Imputation-FIX (mechanism mismatch)** | All share an identical 6,669 missing count with no age/eligibility gate that explains it in the 10–64 universe — most likely a single subgroup with no Form 1 individual-module record at all (unit nonresponse, e.g. unreachable OFWs), not skip logic. Recommend **not** defaulting `DIFF_*` to code 1 ("no difficulty") as your remark suggests — that fabricates a favorable value for people you know nothing about. Keep `Not_Applicable`/a distinct "Unknown" bucket, and flag the mechanism distinction in §3.2 rather than attributing all of it to skip logic. |
| `READ_IND_F3`, `INTERNET`, `SPORTS`, `MM_PNPAPER`…`MM_ECOMMERCE` (all mass-media items) | **Unverified** | Form 3 source doc unavailable. Plausible-but-unconfirmed: gated on literacy/reading ability. Proceeding with `Not_Applicable` as pragmatic default per your instruction. |
| `DSKILL_INFO1`…`DSKILL_PROB6` (all digital-skill items) | **Unverified** | Plausible-but-unconfirmed: gated on internet/ICT access (nested inside the above gate — higher missing count, 147,648). `Not_Applicable` as pragmatic default. |
| `TVOCGRAD`, `TVOCTRAIN`, `TVOCAT`, `TVOCCERT` | **Unverified** | Plausible TVET-module funnel gating (progressively stricter). `Not_Applicable` as pragmatic default. |
| `PATHWAY_COLLEGE`…`PATHWAY_OTHERS` | **Unverified** | Single shared gate (92,239 missing, identical across all 7). `Not_Applicable` as pragmatic default. |
| `MSPORT_FREQ`, `MSPORT_WHY`, `MSPORT_WHERE` | **Unverified** | Gated on `MSPORT` response. `Not_Applicable` as pragmatic default. |
| `HELPOTHERS`, `APPLYSKILLS` | **Unverified** | No clear internal pattern to infer gate from column names alone. `Not_Applicable` as pragmatic default, lowest confidence of the unverified group. |
